iter	RMSE
0	1.412841614
1	1.403279739
2	1.39443845
3	1.386214739
4	1.378642693
5	1.371643441
6	1.365068986
7	1.358974789
8	1.353047423
9	1.347693074
10	1.34254134
11	1.33777805
12	1.333115058
13	1.328671835
14	1.324647126
15	1.32063496
16	1.317023628
17	1.313560554
18	1.310277393
19	1.306889748
20	1.303611677
21	1.300688468
22	1.2977667
23	1.29512459
24	1.292292935
25	1.289621232
26	1.286994211
27	1.284580455
28	1.282362718
29	1.280199551
30	1.278117239
31	1.27611101
32	1.274210265
33	1.272445954
34	1.270537676
35	1.268763109
36	1.267117253
37	1.265447631
38	1.263720468
39	1.26214874
40	1.260532449
41	1.2592
42	1.257791361
43	1.256558485
44	1.255201881
45	1.25404128
46	1.252890767
47	1.251746208
48	1.250571399
49	1.249278792
50	1.248117755
51	1.247148928
52	1.246214064
53	1.24506046
54	1.243989151
55	1.243139399
56	1.242226987
57	1.241230115
58	1.240383919
59	1.23951567
60	1.238759595
61	1.237836788
62	1.237011955
63	1.236161161
64	1.235429353
65	1.234770898
66	1.234097425
67	1.233276785
68	1.232574172
69	1.231864145
70	1.231112648
71	1.230480622
72	1.229914686
73	1.229244194
74	1.228553831
75	1.22792665
76	1.227367828
77	1.226854009
78	1.226265505
79	1.225715623
80	1.225219175
81	1.22471454
82	1.224225286
83	1.223713209
84	1.223193281
85	1.222672545
86	1.222214997
87	1.221796969
88	1.22137933
89	1.220903659
90	1.220422415
91	1.220022666
92	1.219628647
93	1.21918903
94	1.218746697
95	1.218343801
96	1.217973788
97	1.217614558
98	1.21726361
99	1.216917384
100	1.216540834
101	1.216207258
102	1.215869807
103	1.215520013
104	1.215125362
105	1.214792525
106	1.214456665
107	1.214161158
108	1.213869744
109	1.21360537
110	1.213304844
111	1.212926407
112	1.212556263
113	1.212294973
114	1.212046926
115	1.211718793
116	1.211465776
117	1.211052304
118	1.21071714
119	1.210487681
120	1.210225015
121	1.209950577
122	1.209632024
123	1.209341954
124	1.209113251
125	1.208796395
126	1.208490434
127	1.208255871
128	1.208040115
129	1.207768709
130	1.207475401
131	1.207235242
132	1.206998219
133	1.206796487
134	1.206551618
135	1.206270388
136	1.206046395
137	1.205814914
138	1.205591688
139	1.205397257
140	1.205161356
141	1.204887321
142	1.204704203
143	1.204452662
144	1.204245295
145	1.204037816
146	1.203814605
